I lose.|I lost.
I hurry home.|I hurried home.
I just give up.|I just gave up.
I just guess.|I just guessed.
I like run.|I like running.
I like sing.|I like singing.
I like talk.|I like talking.
I like walk.|I like walking.
I like work.|I like working.
I lose control.|I lost control.
I lose my keys.|I lost my keys.
I lose the bet.|I lost the bet.
I love win.|I love winning.
I make cookies.|I made cookies.
I make her cry.|I made her cry.
I make him cry.|I made him cry.
I need money.|I needed money.
I notice that.|I noticed that.
I predict it.|I predicted it.
I promise Tom.|I promised Tom.
I really try.|I really tried.
I say get out.|I said get out.
I say not now.|I said not now.
I say nothing.|I said nothing.
I say shut up!|I said shut up!
I start that.|I started that.
I sure be cold.|I sure am cold.
I take her arm.|I took her arm.
I trust them.|I trusted them.
I turn right.|I turned right.
I walk alone.|I walked alone.
I want to go.|I wanted to go.
I be attacked.|I was attacked.
I be barefoot.|I was barefoot.
I be bluffing.|I was bluffing.
I be captured.|I was captured.
I be careless.|I was careless.
I be cleaning.|I was cleaning.
I be detained.|I was detained.
I be grateful.|I was grateful.
I be impolite.|I was impolite.
I be offended.|I was offended.
I be outdoors.|I was outdoors.
I be pardoned.|I was pardoned.
I be so happy.|I was so happy.
I be starving.|I was starving.
I be studying.|I was studying.
I be thinking.|I was thinking.
I be upstairs.|I was upstairs.
I be watching.|I was watching.
I ben't drunk.|I wasn't drunk.
I ben't hired.|I wasn't hired.
I go fishing.|I went fishing.
I'd be honor.|I'd be honored.
I'm astonish.|I'm astonished.
I'm be used.|I'm being used.
I'm dead tire.|I'm dead tired.
I'm dehydrate.|I'm dehydrated.
I'm devastate.|I'm devastated.
I'm do well.|I'm doing well.
I'm eat now.|I'm eating now.
I'm exercise.|I'm exercising.
I'm fascinate.|I'm fascinated.
I'm fire you.|I'm firing you.
I'm go back.|I'm going back.
I'm go bald.|I'm going bald.
I'm have fun.|I'm having fun.
I'm just tire.|I'm just tired.
I'm make tea.|I'm making tea.
I'm meditate.|I'm meditating.
I'm not amuse.|I'm not amused.
I'm not cry.|I'm not crying.
I'm not scar.|I'm not scared.
I'm prejudice.|I'm prejudiced.
I'm remodel.|I'm remodeling.
I'm undress.|I'm undressing.
I'm use to it.|I'm used to it.
I'm very tire.|I'm very tired.
I've be busy.|I've been busy.
I've get plans.|I've got plans.
I've mess up.|I've messed up.
I've remarry.|I've remarried.
I've see that.|I've seen that.
Is Tom work?|Is Tom working?
Is he sleep?|Is he sleeping?
Is it finish?|Is it finished?
It all change.|It all changed.
It get better.|It gets better.
It have to stop.|It has to stop.
It be Saturday.|It is Saturday.
It be possible.|It is possible.
It be so early.|It is so early.
It be too late.|It is too late.
It look real.|It looked real.
It make sense.|It makes sense.
It be a dream.|It was a dream.
It be a fluke.|It was a fluke.
It be awesome.|It was awesome.
It be perfect.|It was perfect.
It be raining.|It was raining.
It be snowing.|It was snowing.
It be so dark.|It was so dark.
It be so good.|It was so good.
It ben't easy.|It wasn't easy.
It ben't luck.|It wasn't luck.
It ben't mine.|It wasn't mine.
It's inspire.|It's inspiring.
It's revolt.|It's revolting.
It's vibrate.|It's vibrating.
It's well do.|It's well done.
It's what I be.|It's what I am.
Japan be weird.|Japan is weird.
Keep on try.|Keep on trying.
Keep search.|Keep searching.
Kids be cruel.|Kids are cruel.
Lunch be ready.|Lunch is ready.
Many fish die.|Many fish died.
Mary be lovely.|Mary is lovely.
Men be simple.|Men are simple.
My name be Tom.|My name is Tom.
No one arrive.|No one arrived.
No one cheat.|No one cheated.
No one escape.|No one escaped.
No one be home.|No one is home.
No one laugh.|No one laughed.
No one notice.|No one noticed.
Nobody be here.|Nobody is here.
Prices go up.|Prices went up.
Science be fun.|Science is fun.
She call him.|She called him.
She come alone.|She came alone.
She ditch me.|She ditched me.
She fool him.|She fooled him.
She give money.|She gave money.
She get caught.|She got caught.
She grow roses.|She grew roses.
She have a bike.|She has a bike.
She have a book.|She has a book.
She have brains.|She has brains.
She help him.|She helped him.
She hug him.|She hugged him.
She be a nurse.|She is a nurse.
She be awkward.|She is awkward.
She be dieting.|She is dieting.
She be talking.|She is talking.
She ben't poor.|She isn't poor.
She kick him.|She kicked him.
She kiss him.|She kissed him.
She like that.|She liked that.
She look ill.   She loves cake.|She looked ill.   She loves cake.
She seem rich.|She seems rich.
She tease him.|She teased him.
She be crying.|She was crying.
She's divorce.|She's divorced.
Someone call.|Someone called.
Stop grumble.|Stop grumbling.
Stop poke me.|Stop poking me.
Stop resist!|Stop resisting!
Stop scream.|Stop screaming.
Sugar be sweet.|Sugar is sweet.
Summer be over.|Summer is over.
That be a boat.|That is a boat.
That take guts.|That took guts.
That be a lie.|That was a lie.
That be close.|That was close.
That be great.|That was great.
That be quick.|That was quick.
That be sweet.|That was sweet.
That be weird.|That was weird.
That's amaze!|That's amazing!
The baby cry.|The baby cried.
The cat be wet.|The cat is wet.
The dog bark.|The dog barked.
The flag be up.|The flag is up.
The ice melt.|The ice melted.
The tea be hot.|The tea is hot.
These be mine.|These are mine.
They be alone.|They are alone.
They be bored.|They are bored.
They ask him.|They asked him.
They hat Tom.|They hated Tom.
They love Tom.|They loved Tom.
They quarrel.|They quarreled.
They ruin it.|They ruined it.
They struggle.|They struggled.
They be busy.|They were busy.
They're come.|They're coming.
Thbe be a book.|This is a book.
Thbe be a desk.|This is a desk.
Thbe be a fact.|This is a fact.
Thbe be a joke.|This is a joke.
Thbe be a lion.|This is a lion.
Thbe be a scam.|This is a scam.
Thbe be a sign.|This is a sign.
Thbe be absurd.|This is absurd.
Thbe be creepy.|This is creepy.
Thbe be doable.|This is doable.
Thbe be insane.|This is insane.
Thbe be my car.|This is my car.
Thbe be my cat.|This is my cat.
Thbe be my dog.|This is my dog.
Thbe be normal.|This is normal.
Thbe be pretty.|This is pretty.
Thbe be theirs.|This is theirs.
Thbe be tricky.|This is tricky.
Thbe be unsafe.|This is unsafe.
Thbe be urgent.|This is urgent.
This be a lie.|This was a lie.
Those be mine.|Those are mine.
Those be nice.|Those are nice.
Tom apologize.|Tom apologized.
Tom do it all.|Tom did it all.
Tom die at 65.|Tom died at 65.
Tom fire Mary.|Tom fired Mary.
Tom be a guest.|Tom is a guest.
Tom be a moron.|Tom is a moron.
Tom be a thief.|Tom is a thief.
Tom be at work.|Tom is at work.
Tom be driving.|Tom is driving.
Tom be helpful.|Tom is helpful.
Tom be kidding.|Tom is kidding.
Tom be leaving.|Tom is leaving.
Tom be married.|Tom is married.
Tom be packing.|Tom is packing.
Tom be playing.|Tom is playing.
Tom be starved.|Tom is starved.
Tom be staying.|Tom is staying.
Tom be talking.|Tom is talking.
Tom be working.|Tom is working.
Tom ben't dumb.|Tom isn't dumb.
Tom ben't here.|Tom isn't here.
Tom ben't rich.|Tom isn't rich.
Tom like that.|Tom liked that.
Tom seem lost.|Tom seems lost.
Tom seem nice.|Tom seems nice.
Tom stop it.|Tom stopped it.
Tom warn you.|Tom warned you.
Tom be better.|Tom was better.
Tom be lonely.|Tom was lonely.
Tom's dream.|Tom's dreaming.
Tom's drown.|Tom's drowning.
Tom's sweat.|Tom's sweating.
We all cheer.|We all cheered.
We all laugh.|We all laughed.
We be all set.|We are all set.
We don't kiss.|We didn't kiss.
We have a blast.|We had a blast.
We have to stop.|We had to stop.
We just land.|We just landed.
We need help.|We needed help.
We need this.|We needed this.
We never vote.|We never voted.
We only kiss.|We only kissed.
We surrender.|We surrendered.
We volunteer.|We volunteered.
We be beaten.|We were beaten.
We be wasted.|We were wasted.
We're all do.|We're all done.
We're confuse.|We're confused.
We're divorce.|We're divorced.
We're escape.|We're escaping.
We're fight.|We're fighting.
We're finish.|We're finished.
We're freeze.|We're freezing.
We're manage.|We're managing.
We're not do.|We're not done.
We're not lose.|We're not lost.
We're quit.|We're quitting.
We're retire.|We're retiring.
We're stand.|We're standing.
We're starve.|We're starving.
We've finish.|We've finished.
We've see her.|We've seen her.
We've see him.|We've seen him.
Well do, Tom.|Well done, Tom.
What be these?|What are these?
What be those?|What are those?
What do I get?|What did I get?
What do I win?|What did I win?
When do he go?|When did he go?
Where be they?|Where are they?
Where be Parbe?|Where is Paris?
Where be you?|Where were you?
Who call you?|Who called you?
Who do he see?|Who did he see?
Who go there?|Who goes there?
Who be on duty?|Who is on duty?
Who kill Tom?|Who killed Tom?
Who want this?|Who wants this?
Who's watch?|Who's watching?
Whose be they?|Whose are they?
Why be he busy?|Why is he busy?
You be morons.|You are morons.
You be stupid.|You are stupid.
You ben't Tom.|You aren't Tom.
You lie to me.|You lied to me.
You look bore.|You look bored.
You look tire.|You look tired.
You screw up.|You screwed up.
You smash it.|You smashed it.
You be great.|You were great.
You be happy.|You were happy.
You're amaze.|You're amazing.
You're amuse.|You're amusing.
You're invite.|You're invited.
You're kid!|You're kidding!
You're slosh.|You're sloshed.
You're smash.|You're smashed.
You're win.|You're winning.
You've do it!|You've done it!
A boat capsize.|A boat capsized.
All be present.|All are present.
Are we finish?|Are we finished?
Are you dress?|Are you dressed?
Are you excite?|Are you excited?
Are you kid?|Are you kidding?
Are you look?|Are you looking?
Are you work?|Are you working?
Balls be round.|Balls are round.
Boy be I naive.|Boy was I naive.
Boy be I wrong.|Boy was I wrong.
Boys be stupid.|Boys are stupid.
Change be scary.|Change is scary.
Come as you be.|Come as you are.
Dinner be ready.|Dinner is ready.
Do I look tire?|Do I look tired?
Do what he say.|Do what he says.
Don't be scar.|Don't be scared.
Everyone agree.|Everyone agreed.
Everyone do it.|Everyone did it.
Everyone smile.|Everyone smiled.
Everyone wait.|Everyone waited.
Everyone be OK.   Everyone's dead.|Everyone was OK.   Everyone's dead.
Girls be crazy.|Girls are crazy.
Great, ben't it?|Great, isn't it?
Guys be stupid.|Guys are stupid.
He begin to cry.|He began to cry.
He begin to run.|He began to run.
He come running.|He came running.
He do his best.|He did his best.
He do it again.|He did it again.
He do it fast.|He does it fast.
He give up hope.|He gave up hope.
He get into bed.|He got into bed.
He get the ball.|He got the ball.
He get very mad.|He got very mad.
He have ambition.|He had ambition.
He have no money.|He had no money.
He have a Toyota.|He has a Toyota.
He have a camera.|He has a camera.
He have a hat on.|He has a hat on.
He have gone mad.|He has gone mad.
He have gone out.|He has gone out.
He have no money.|He has no money.
He have ten cows.|He has ten cows.
He have two cars.|He has two cars.
He have two cats.|He has two cats.
He be a bad boy.|He is a bad boy.
He be a dreamer.|He is a dreamer.
He be a painter.|He is a painter.
He be a psychic.|He is a psychic.
He be a student.|He is a student.
He be a teacher.|He is a teacher.
He be depressed.|He is depressed.
He be my friend.|He is my friend.
He be off today.|He is off today.
He be unmarried.|He is unmarried.
He be very tall.|He is very tall.
He be well paid.|He is well paid.
He just arrive.|He just arrived.
He kept talk.|He kept talking.
He lose his job.|He lost his job.
He make a robot.|He made a robot.
He make her cry.|He made her cry.
He make me sing.|He made me sing.
He mention it.|He mentioned it.
He miss class.|He missed class.
He say nothing.|He said nothing.
He save us all.|He saved us all.
He seem honest.|He seems honest.
He sell whisky.|He sells whisky.
He star at me.|He stared at me.
He study hard.|He studied hard.
He swindle her.|He swindled her.
He be cheating.|He was cheating.
He be outraged.|He was outraged.
He be standing.|He was standing.
He be very fun.|He was very fun.
He be very old.|He was very old.
He go surfing.|He went surfing.
He's go bald.|He's going bald.
He's help me.|He's helping me.
Her father die.|Her father died.
Here I be again.|Here I am again.
Here be the map.|Here is the map.
How be you?|How are you?
His ID be fake.|His ID was fake.
Hbe name be mud.|His name is mud.
Hbe son be sick.|His son is sick.
Hbe word be law.|His word is law.
How be you all?|How are you all?
How be you now?|How are you now?
How big you be!|How big you are!
How do it feel?|How did it feel?
How interest!|How interesting!
How be everyone?|How is everyone?
How be it going?|How is it going?
How be your dad?|How is your dad?
How old be you?|How old are you?
I almost do it.|I almost did it.
I be a Japanese.|I am a Japanese.
I be a bachelor.|I am a bachelor.
I be a good boy.|I am a good boy.
I be busy today.|I am busy today.
I be from Egypt.|I am from Egypt.
I be in trouble.|I am in trouble.
I be not eating.|I am not eating.
I be undressing.|I am undressing.
I be very sorry.|I am very sorry.
I be very tired.|I am very tired.
I amuse myself.|I amused myself.
I bake cookies.|I baked cookies.
I believe that.|I believed that.
I book a seat.|I booked a seat.
I call Tom up.|I called Tom up.
I call her up.|I called her up.
I call him up.|I called him up.
I deserve that.|I deserved that.
I do it anyway.|I did it anyway.
I do it myself.|I did it myself.
I do that once.|I did that once.
I don't forget.|I didn't forget.
I don't listen.|I didn't listen.
I don't notice.|I didn't notice.
I don't say it.|I didn't say it.
I don't scream.|I didn't scream.
I don't see it.|I didn't see it.
I don't shower.|I didn't shower.
I download it.|I downloaded it.
I dry my face.|I dried my face.
I enjoy work.|I enjoy working.
I escape death.|I escaped death.
I expect more.|I expected more.
I expect this.|I expected this.
I feel relieve.|I feel relieved.
I finish last.|I finished last.
I fire the gun.|I fired the gun.
I get a bargain.|I got a bargain.
I get no answer.|I got no answer.
I get remarried.|I got remarried.
I get rid of it.|I got rid of it.
I get sunburned.|I got sunburned.
I guess right.|I guessed right.
I have a seizure.|I had a seizure.
I have my doubts.|I had my doubts.
I have no choice.|I had no choice.
I have no doubts.|I had no doubts.
I have some help.|I had some help.
I have to resign.|I had to resign.
I hate fight.|I hate fighting.
I hate study.|I hate studying.
I have finish.|I have finished.
I have return.|I have returned.
I haven't eat.|I haven't eaten.
I haven't try.|I haven't tried.
I hear laugh.|I hear laughing.
I heard yell.|I heard yelling.
I imagine that.|I imagined that.
I just finish.|I just finished.
I just get here.|I just got here.
I just get that.|I just got that.
I just shower.|I just showered.
I know Tom lie.|I know Tom lied.
I laugh a lot.|I laughed a lot.
I learn a lot.|I learned a lot.
I lie about it.|I lied about it.
I like sleep.|I like sleeping.
I like swim.|I like swimming.
I like teach.|I like teaching.
I lose interest.|I lost interest.
I lose my phone.|I lost my phone.
I lose my watch.|I lost my watch.
I love swim.|I love swimming.
I love teach.|I love teaching.
I make brownies.|I made brownies.
I make that one.|I made that one.
I make the deal.|I made the deal.
I miss supper.|I missed supper.
I motivate you.|I motivated you.
I never notice.|I never noticed.
I never say no.|I never said no.
I order pizza.|I ordered pizza.
I outwit him.|I outwitted him.
I rely on him.|I relied on him.
I remember it.|I remembered it.
I say I'm fine.|I said I'm fine.
I saw it come.|I saw it coming.
I smell bacon.|I smelled bacon.
I talk to her.|I talked to her.
I turn it off.|I turned it off.
I want to die.|I wanted to die.
I want to pay.|I wanted to pay.
I be a teacher.|I was a teacher.
I be assaulted.|I was assaulted.
